id,cp_code,name,address,address_postal,zone,longitude,latitude,x_coord,y_coord,rates,start_time,end_time,data_provider_id,remarks,capacity_car,capacity_mcycle,capacity_heavy,is_active,height_limit,height_advisory,special_advisory_info,carpark_operator_id,payment_types,carpark_types,location_point,version,created_at,updated_at,rate_id_car,rate_id_mcycle,rate_id_heavy,grace_period
30690,NULL,St Michael Industrial Estate,65A Jalan Tenteram,NULL,NULL,103.8584489,1.3287027,30796.4,34547.49,NULL,0,2359,4,NULL,0,0,0,TRUE,NULL,NULL,NULL,16,EPS,NULL,0101000020E610000061B2A7D3F0F65940DCB529C35D42F53F,20221208,58:14.1,58:14.1,30690,NULL,NULL,0
30689,NULL,Goodman Art Centre (Carpark B),90 Goodman Road,NULL,NULL,103.8849242,1.3040865,33743.1,31825.57,NULL,0,2359,1,NULL,0,0,0,TRUE,2.5,NULL,NULL,1,EPS,NULL,0101000020E6100000189C1C99A2F859404E7B4ACE89DDF43F,20221208,58:14.1,58:14.1,30689,NULL,NULL,15
30688,NULL,Goodman Art Centre (Carpark A),90 Goodman Road,NULL,NULL,103.8849242,1.3040865,33743.1,31825.57,NULL,0,2359,2,NULL,0,0,0,TRUE,NULL,NULL,NULL,2,EPS,NULL,0101000020E6100000189C1C99A2F859404E7B4ACE89DDF43F,20221208,58:14.1,58:14.1,30688,NULL,NULL,0
30687,NULL,JTC MedTech Hub @ MedTech Park,2 Tukang Innovation Grove,NULL,NULL,103.7102421,1.3250462,14300.99,34143.17,NULL,0,2359,3,NULL,0,0,0,TRUE,2.2,NULL,NULL,3,EPS,NULL,0101000020E610000083EF479B74ED59407406EBA46333F53F,20221208,58:14.1,58:14.1,30687,NULL,NULL,0
30686,NULL,JTC CleanTech Two @ CleanTech Park,3 Cleantech Loop,NULL,NULL,103.69333,1.3551176,12418.67,37468.29,NULL,0,2359,4,NULL,0,0,0,TRUE,2.15,NULL,NULL,4,EPS,NULL,0101000020E61000007CD5CA845FEC594081BEE3CA8FAEF53F,20221208,58:14.1,58:14.1,30686,NULL,NULL,15
30685,NULL,JTC BioMed One @ Tuas Biomedical Park,128 Tuas South Avenue 3,NULL,NULL,103.6263975,1.2891579,4969.08,30174.86,NULL,0,2359,1,NULL,0,0,0,TRUE,NULL,NULL,NULL,5,EPS,NULL,0101000020E6100000F4328AE516E85940A314BE0864A0F43F,20221208,58:14.1,58:14.1,30685,NULL,NULL,15
30684,NULL,JTC Aviation Two @ Seletar Aerospace Park,690 West Camp Road,NULL,NULL,103.8639471,1.4198968,31408.35,44631.18,NULL,0,2359,2,NULL,0,0,0,TRUE,NULL,NULL,NULL,6,EPS,NULL,0101000020E610000057FEC6E84AF75940F01EFBB4E5B7F63F,20221208,58:14.1,58:14.1,30684,NULL,NULL,15
30683,NULL,JTC Aviation One @ Seletar Aerospace Park,700 West Camp Road,NULL,NULL,103.8641238,1.4203787,31428.02,44684.47,NULL,0,2359,3,NULL,0,0,0,TRUE,NULL,NULL,NULL,7,EPS,NULL,0101000020E61000007F2CE9CD4DF75940BEF50604DFB9F63F,20221208,58:14.0,58:14.0,30683,NULL,NULL,15
30682,NULL,BreadTalk IHQ,30 Tai Seng Street,NULL,NULL,103.8896447,1.3343047,34268.49,35166.92,NULL,0,2359,4,NULL,0,0,0,TRUE,NULL,NULL,NULL,8,EPS,NULL,0101000020E6100000D3E352F0EFF85940AD6296E24F59F53F,20221208,58:14.0,58:14.0,30682,NULL,NULL,0
30681,NULL,East Village,430 Upper Changi Road,NULL,NULL,103.9462012,1.3317758,40563.23,34887.29,NULL,0,2359,1,NULL,0,0,0,TRUE,2.2,NULL,NULL,9,EPS,NULL,0101000020E6100000E75B7A8F8EFC5940F4AA2924F44EF53F,20221208,58:14.0,58:14.0,30681,NULL,NULL,0
